index,french,english,audio,Semantic Domain,Bloom's Category,Aspectual Class
362,creuser,to dig,french_audio/creuser.mp3,Physical Contact,Application,Accomplishment
363,flotter,to float,french_audio/flotter.mp3,Motion/Space,Knowledge,State
364,vêtir,to clothe,french_audio/vêtir.mp3,Bodily Function,Application,Accomplishment
365,affirmer,to affirm,french_audio/affirmer.mp3,Communication,Application,Activity
366,repousser,to push back,french_audio/repousser.mp3,Motion/Space,Application,Achievement
367,étaler,to spread out,french_audio/étaler.mp3,Physical Contact,Application,Activity
368,remuer,to stir/move,french_audio/remuer.mp3,Physical Contact,Application,Activity
369,déposer,to deposit/put down,french_audio/déposer.mp3,Motion/Space,Application,Achievement
370,détester,to hate,french_audio/détester.mp3,Emotion/Affect,Knowledge,State
371,supposer,to suppose,french_audio/supposer.mp3,Cognition,Evaluation,State
372,rapporter,to bring back/report,french_audio/rapporter.mp3,Communication,Application,Achievement
373,nommer,to name,french_audio/nommer.mp3,Communication,Knowledge,Achievement
374,assister,to attend/assist,french_audio/assister.mp3,Activity/Social,Application,Activity
375,désirer,to desire,french_audio/désirer.mp3,Emotion/Affect,Knowledge,State
376,excuser,to excuse,french_audio/excuser.mp3,Communication,Application,Achievement
377,parcourir,to travel across,french_audio/parcourir.mp3,Motion/Space,Application,Activity
378,briser,to shatter,french_audio/briser.mp3,Physical Contact,Application,Achievement
379,céder,to give in/yield,french_audio/céder.mp3,Activity/Social,Application,Achievement
380,soutenir,to support,french_audio/soutenir.mp3,Activity/Social,Application,State
381,transformer,to transform,french_audio/transformer.mp3,Creation/Change,Synthesis,Accomplishment
382,remplacer,to replace,french_audio/remplacer.mp3,Creation/Change,Application,Achievement
383,contenter,to satisfy,french_audio/contenter.mp3,Emotion/Affect,Application,State
384,révéler,to reveal,french_audio/révéler.mp3,Communication,Knowledge,Achievement
385,exiger,to demand,french_audio/exiger.mp3,Communication,Application,Activity
386,dîner,to dine,french_audio/dîner.mp3,Bodily Function,Application,Activity
387,étouffer,to stifle/choke,french_audio/étouffer.mp3,Physical Contact,Knowledge,Achievement
388,admettre,to admit,french_audio/admettre.mp3,Communication,Evaluation,Achievement
389,épouser,to marry/espouse,french_audio/épouser.mp3,Activity/Social,Knowledge,Achievement
390,ennuyer,to bore/annoy,french_audio/ennuyer.mp3,Emotion/Affect,Application,State
391,contenir,to contain,french_audio/contenir.mp3,Existence/State,Knowledge,State
392,discuter,to discuss,french_audio/discuter.mp3,Communication,Analysis,Activity
393,retomber,to fall again,french_audio/retomber.mp3,Motion/Space,Knowledge,Achievement
394,échanger,to exchange,french_audio/échanger.mp3,Possession,Application,Achievement
395,dégager,to clear/release,french_audio/dégager.mp3,Motion/Space,Application,Achievement
396,pendre,to hang,french_audio/pendre.mp3,Motion/Space,Application,Achievement
397,établir,to establish,french_audio/établir.mp3,Creation/Change,Application,Accomplishment
398,envahir,to invade,french_audio/envahir.mp3,Motion/Space,Knowledge,Achievement
399,constater,to note/notice,french_audio/constater.mp3,Cognition,Knowledge,Achievement
400,figurer,to figure/appear,french_audio/figurer.mp3,Existence/State,Knowledge,State
401,réunir,to gather/unite,french_audio/réunir.mp3,Activity/Social,Application,Achievement
402,fournir,to provide,french_audio/fournir.mp3,Possession,Application,Activity
403,signer,to sign,french_audio/signer.mp3,Communication,Application,Achievement
404,attraper,to catch,french_audio/attraper.mp3,Physical Contact,Application,Achievement
405,éveiller,to awaken,french_audio/éveiller.mp3,Bodily Function,Knowledge,Achievement
406,accomplir,to accomplish,french_audio/accomplir.mp3,Aspectual,Application,Accomplishment
407,conserver,to keep/preserve,french_audio/conserver.mp3,Possession,Knowledge,State
408,essuyer,to wipe,french_audio/essuyer.mp3,Physical Contact,Application,Activity
409,détourner,to divert,french_audio/détourner.mp3,Motion/Space,Application,Achievement
410,créer,to create,french_audio/créer.mp3,Creation/Change,Synthesis,Accomplishment
411,accueillir,to welcome,french_audio/accueillir.mp3,Activity/Social,Application,Achievement
412,rapprocher,to bring closer,french_audio/rapprocher.mp3,Motion/Space,Application,Achievement
413,mériter,to deserve,french_audio/mériter.mp3,Emotion/Affect,Evaluation,State
414,remercier,to thank,french_audio/remercier.mp3,Communication,Application,Achievement
415,constituer,to constitute,french_audio/constituer.mp3,Existence/State,Analysis,State
416,surveiller,to monitor,french_audio/surveiller.mp3,Perception,Analysis,Activity
417,interdire,to forbid,french_audio/interdire.mp3,Communication,Application,State
418,efforcer,to try hard,french_audio/efforcer.mp3,Cognition,Application,Activity
419,régler,to adjust/settle,french_audio/régler.mp3,Creation/Change,Application,Accomplishment
420,indiquer,to indicate,french_audio/indiquer.mp3,Communication,Knowledge,Achievement
421,verser,to pour,french_audio/verser.mp3,Physical Contact,Application,Activity
422,confondre,to confuse,french_audio/confondre.mp3,Cognition,Analysis,State
423,subir,to undergo/suffer,french_audio/subir.mp3,Emotion/Affect,Knowledge,State
424,déchirer,to tear,french_audio/déchirer.mp3,Physical Contact,Application,Achievement
425,rassembler,to gather,french_audio/rassembler.mp3,Activity/Social,Application,Achievement
426,rompre,to break (off),french_audio/rompre.mp3,Physical Contact,Application,Achievement
427,construire,to build,french_audio/construire.mp3,Creation/Change,Synthesis,Accomplishment
428,menacer,to threaten,french_audio/menacer.mp3,Communication,Application,Activity
429,prouver,to prove,french_audio/prouver.mp3,Cognition,Evaluation,Achievement
430,détruire,to destroy,french_audio/détruire.mp3,Creation/Change,Analysis,Achievement
431,visiter,to visit,french_audio/visiter.mp3,Activity/Social,Application,Activity
432,résister,to resist,french_audio/résister.mp3,Activity/Social,Application,State
433,mentir,to lie,french_audio/mentir.mp3,Communication,Application,Activity
434,conclure,to conclude,french_audio/conclure.mp3,Cognition,Evaluation,Achievement
435,grimper,to climb,french_audio/grimper.mp3,Motion/Space,Application,Activity
436,dissimuler,to hide/conceal,french_audio/dissimuler.mp3,Physical Contact,Application,Achievement
437,guetter,to watch for,french_audio/guetter.mp3,Perception,Analysis,Activity
438,examiner,to examine,french_audio/examiner.mp3,Cognition,Analysis,Activity
439,réduire,to reduce,french_audio/réduire.mp3,Creation/Change,Analysis,Accomplishment
440,dominer,to dominate,french_audio/dominer.mp3,Activity/Social,Evaluation,State
441,abattre,to shoot/knock down,french_audio/abattre.mp3,Physical Contact,Application,Achievement
442,concerner,to concern,french_audio/concerner.mp3,Existence/State,Knowledge,State
443,moquer,to mock,french_audio/moquer.mp3,Communication,Application,Activity
444,plier,to fold,french_audio/plier.mp3,Physical Contact,Application,Activity
445,frotter,to rub,french_audio/frotter.mp3,Physical Contact,Application,Activity
446,incliner,to tilt,french_audio/incliner.mp3,Motion/Space,Application,Achievement
447,regagner,to reach/win back,french_audio/regagner.mp3,Motion/Space,Knowledge,Achievement
448,emplir,to fill up,french_audio/emplir.mp3,Physical Contact,Application,Accomplishment
449,réclamer,to claim/demand,french_audio/réclamer.mp3,Communication,Application,Activity
450,fatiguer,to tire,french_audio/fatiguer.mp3,Bodily Function,Knowledge,State
451,débarrasser,to get rid of,french_audio/débarrasser.mp3,Motion/Space,Application,Achievement
452,provoquer,to provoke,french_audio/provoquer.mp3,Activity/Social,Application,Achievement
453,lutter,to struggle/fight,french_audio/lutter.mp3,Activity/Social,Application,Activity
454,libérer,to free,french_audio/libérer.mp3,Activity/Social,Application,Achievement
455,mordre,to bite,french_audio/mordre.mp3,Physical Contact,Knowledge,Achievement
456,préciser,to specify,french_audio/préciser.mp3,Communication,Analysis,Achievement
457,coûter,to cost,french_audio/coûter.mp3,Existence/State,Evaluation,State
458,rejeter,to reject,french_audio/rejeter.mp3,Activity/Social,Evaluation,Achievement
459,appliquer,to apply,french_audio/appliquer.mp3,Activity/Social,Application,Activity
460,entreprendre,to undertake,french_audio/entreprendre.mp3,Activity/Social,Application,Accomplishment
461,fabriquer,to manufacture,french_audio/fabriquer.mp3,Creation/Change,Synthesis,Accomplishment
462,composer,to compose,french_audio/composer.mp3,Creation/Change,Synthesis,Accomplishment
463,gonfler,to inflate,french_audio/gonfler.mp3,Creation/Change,Application,Accomplishment
464,réserver,to reserve,french_audio/réserver.mp3,Possession,Application,Achievement
465,écrier,to exclaim,french_audio/écrier.mp3,Communication,Application,Activity
466,régner,to reign,french_audio/régner.mp3,Activity/Social,Knowledge,State
467,mesurer,to measure,french_audio/mesurer.mp3,Cognition,Analysis,Activity
468,signifier,to signify,french_audio/signifier.mp3,Communication,Knowledge,State
469,organiser,to organize,french_audio/organiser.mp3,Activity/Social,Synthesis,Accomplishment
470,fouiller,to search/rummage,french_audio/fouiller.mp3,Perception,Analysis,Activity
471,pleuvoir,to rain,french_audio/pleuvoir.mp3,Existence/State,Knowledge,Activity
472,déplacer,to move,french_audio/déplacer.mp3,Motion/Space,Application,Achievement
473,grandir,to grow,french_audio/grandir.mp3,Existence/State,Knowledge,Accomplishment
474,envelopper,to wrap,french_audio/envelopper.mp3,Physical Contact,Application,Accomplishment
475,entretenir,to maintain/keep up,french_audio/entretenir.mp3,Activity/Social,Application,Activity
476,habituer,to accustom,french_audio/habituer.mp3,Cognition,Application,Accomplishment
477,convaincre,to convince,french_audio/convaincre.mp3,Communication,Evaluation,Achievement
478,employer,to employ/use,french_audio/employer.mp3,Activity/Social,Application,Activity
479,lier,to tie/link,french_audio/lier.mp3,Physical Contact,Application,Achievement
480,opposer,to oppose,french_audio/opposer.mp3,Activity/Social,Analysis,State
481,obéir,to obey,french_audio/obéir.mp3,Activity/Social,Application,Activity
482,cracher,to spit,french_audio/cracher.mp3,Bodily Function,Knowledge,Achievement
483,calmer,to calm,french_audio/calmer.mp3,Emotion/Affect,Application,Achievement
484,inspirer,to inspire,french_audio/inspirer.mp3,Emotion/Affect,Synthesis,Activity
485,user,to wear out/use,french_audio/user.mp3,Physical Contact,Application,Activity
486,enfiler,to slip on,french_audio/enfiler.mp3,Bodily Function,Application,Achievement
487,reprocher,to reproach,french_audio/reprocher.mp3,Communication,Evaluation,Activity
488,condamner,to condemn,french_audio/condamner.mp3,Communication,Evaluation,Achievement
489,pardonner,to forgive,french_audio/pardonner.mp3,Emotion/Affect,Evaluation,Achievement
490,adorer,to adore,french_audio/adorer.mp3,Emotion/Affect,Knowledge,State
491,noter,to note/write down,french_audio/noter.mp3,Communication,Knowledge,Achievement
492,répandre,to spread,french_audio/répandre.mp3,Motion/Space,Application,Activity
493,exercer,to exercise,french_audio/exercer.mp3,Activity/Social,Application,Activity
494,apprécier,to appreciate,french_audio/apprécier.mp3,Emotion/Affect,Evaluation,State
495,baiser,to kiss/f***,french_audio/baiser.mp3,Physical Contact,Application,Achievement
496,déranger,to disturb,french_audio/déranger.mp3,Activity/Social,Application,Achievement
497,raser,to shave/raze,french_audio/raser.mp3,Physical Contact,Application,Achievement
498,faillir,to almost do,french_audio/faillir.mp3,Aspectual,Knowledge,Achievement
499,utiliser,to use,french_audio/utiliser.mp3,Activity/Social,Application,Activity
500,blesser,to bless/wound,french_audio/blesser.mp3,Physical Contact,Application,Achievement
501,jaillir,to gush/spurt,french_audio/jaillir.mp3,Motion/Space,Knowledge,Activity
502,soigner,to care for/treat,french_audio/soigner.mp3,Activity/Social,Application,Activity
503,priver,to deprive,french_audio/priver.mp3,Possession,Analysis,State
504,renvoyer,to send back/dismiss,french_audio/renvoyer.mp3,Communication,Application,Achievement
505,inscrire,to write down/enroll,french_audio/inscrire.mp3,Communication,Application,Achievement
506,coiffer,to style hair,french_audio/coiffer.mp3,Bodily Function,Application,Accomplishment
507,tracer,to trace/draw,french_audio/tracer.mp3,Creation/Change,Application,Activity
508,rougir,to blush,french_audio/rougir.mp3,Bodily Function,Knowledge,Achievement
509,percer,to pierce/drill,french_audio/percer.mp3,Physical Contact,Application,Achievement
510,ôter,to remove/take off,french_audio/ôter.mp3,Motion/Space,Application,Achievement
511,foncer,to darken/charge,french_audio/foncer.mp3,Motion/Space,Application,Activity
512,veiller,to stay awake/watch over,french_audio/veiller.mp3,Perception,Application,Activity
513,trahir,to betray,french_audio/trahir.mp3,Activity/Social,Evaluation,Achievement
514,baigner,to bathe,french_audio/baigner.mp3,Bodily Function,Application,Activity
515,imiter,to imitate,french_audio/imiter.mp3,Cognition,Application,Activity
516,précéder,to precede,french_audio/précéder.mp3,Existence/State,Analysis,State
517,hocher,to nod/shake,french_audio/hocher.mp3,Communication,Application,Achievement
518,percevoir,to perceive/collect,french_audio/percevoir.mp3,Perception,Knowledge,Achievement
519,transporter,to transport,french_audio/transporter.mp3,Motion/Space,Application,Activity
520,refaire,to redo,french_audio/refaire.mp3,Creation/Change,Application,Accomplishment
521,sécher,to dry,french_audio/sécher.mp3,Creation/Change,Application,Accomplishment
522,étirer,to stretch,french_audio/étirer.mp3,Physical Contact,Application,Activity
523,vérifier,to verify,french_audio/vérifier.mp3,Cognition,Evaluation,Activity
524,décrire,to describe,french_audio/décrire.mp3,Communication,Comprehension,Activity
525,siffler,to whistle,french_audio/siffler.mp3,Communication,Application,Activity
526,participer,to participate,french_audio/participer.mp3,Activity/Social,Application,Activity
527,accuser,to accuse,french_audio/accuser.mp3,Communication,Evaluation,Achievement
528,goûter,to taste,french_audio/goûter.mp3,Perception,Knowledge,Achievement
529,dérouler,to unroll/unfold,french_audio/dérouler.mp3,Motion/Space,Application,Activity
530,renverser,to spill/knock over,french_audio/renverser.mp3,Motion/Space,Application,Achievement
531,rattraper,to catch up/regain,french_audio/rattraper.mp3,Motion/Space,Application,Achievement
532,suspendre,to suspend/hang,french_audio/suspendre.mp3,Motion/Space,Application,Achievement
533,emparer,to seize,french_audio/emparer.mp3,Possession,Application,Achievement
534,jouir,to enjoy,french_audio/jouir.mp3,Emotion/Affect,Knowledge,State
535,heurter,to collide/hit,french_audio/heurter.mp3,Physical Contact,Application,Achievement
536,mouiller,to wet,french_audio/mouiller.mp3,Physical Contact,Application,Achievement
537,redouter,to dread,french_audio/redouter.mp3,Emotion/Affect,Knowledge,State
538,protester,to protest,french_audio/protester.mp3,Communication,Evaluation,Activity
539,noyer,to drown,french_audio/noyer.mp3,Existence/State,Knowledge,Achievement
540,pointer,to point/aim,french_audio/pointer.mp3,Communication,Application,Achievement
541,gratter,to scratch,french_audio/gratter.mp3,Physical Contact,Application,Activity
542,tordre,to twist,french_audio/tordre.mp3,Physical Contact,Application,Activity
543,fondre,to melt,french_audio/fondre.mp3,Creation/Change,Knowledge,Accomplishment
544,exposer,to expose/display,french_audio/exposer.mp3,Communication,Application,Activity
545,consacrer,to devote/consecrate,french_audio/consacrer.mp3,Activity/Social,Evaluation,State
546,satisfaire,to satisfy,french_audio/satisfaire.mp3,Emotion/Affect,Evaluation,State
547,manifester,to manifest/show,french_audio/manifester.mp3,Communication,Application,Activity
548,troubler,to disturb/blur,french_audio/troubler.mp3,Emotion/Affect,Application,Achievement
549,virer,to turn/transfer,french_audio/virer.mp3,Motion/Space,Application,Achievement
550,situer,to locate,french_audio/situer.mp3,Cognition,Knowledge,State
551,exécuter,to execute/perform,french_audio/exécuter.mp3,Activity/Social,Application,Accomplishment
552,avertir,to warn,french_audio/avertir.mp3,Communication,Application,Achievement
553,estimer,to estimate,french_audio/estimer.mp3,Cognition,Evaluation,State
554,tailler,to cut/trim,french_audio/tailler.mp3,Physical Contact,Application,Accomplishment
555,dévorer,to devour,french_audio/dévorer.mp3,Bodily Function,Application,Accomplishment
556,soumettre,to submit,french_audio/soumettre.mp3,Activity/Social,Application,Achievement
557,enfuir,to flee/run away,french_audio/enfuir.mp3,Motion/Space,Knowledge,Activity
558,redevenir,to become again,french_audio/redevenir.mp3,Existence/State,Knowledge,Achievement
559,émouvoir,to move (emotionally),french_audio/émouvoir.mp3,Emotion/Affect,Knowledge,Achievement
560,balayer,to sweep,french_audio/balayer.mp3,Physical Contact,Application,Activity
561,luire,to gleam/glow,french_audio/luire.mp3,Perception,Knowledge,State
562,craquer,to creak/crack,french_audio/craquer.mp3,Perception,Knowledge,Achievement
563,commettre,to commit,french_audio/commettre.mp3,Activity/Social,Application,Achievement
564,résoudre,to resolve,french_audio/résoudre.mp3,Cognition,Analysis,Achievement
565,gémir,to groan/moan,french_audio/gémir.mp3,Communication,Application,Activity
566,persuader,to persuade,french_audio/persuader.mp3,Communication,Evaluation,Activity
567,dépendre,to depend,french_audio/dépendre.mp3,Existence/State,Analysis,State
568,combattre,to fight,french_audio/combattre.mp3,Activity/Social,Application,Activity
569,consulter,to consult,french_audio/consulter.mp3,Cognition,Analysis,Activity
570,écrouler,to collapse (suddenly or completely) (of buildings/people/systems),french_audio/écrouler.mp3,Existence/State,Knowledge,Achievement
571,approuver,to approve,french_audio/approuver.mp3,Communication,Evaluation,State
572,justifier,to justify,french_audio/justifier.mp3,Communication,Evaluation,Activity
573,déjeuner,to lunch,french_audio/déjeuner.mp3,Bodily Function,Application,Activity
574,méfier,to distrust,french_audio/méfier.mp3,Cognition,Evaluation,State
575,réaliser,to realize/achieve,french_audio/réaliser.mp3,Cognition,Synthesis,Accomplishment
576,ordonner,to order/arrange,french_audio/ordonner.mp3,Communication,Application,Achievement
577,haïr,to hate,french_audio/haïr.mp3,Emotion/Affect,Knowledge,State
578,bondir,to leap/bound,french_audio/bondir.mp3,Motion/Space,Application,Achievement
579,intervenir,to intervene,french_audio/intervenir.mp3,Activity/Social,Application,Achievement
580,destiner,to intend/destine,french_audio/destiner.mp3,Cognition,Analysis,State
581,apaiser,to soothe/appease,french_audio/apaiser.mp3,Emotion/Affect,Application,Achievement
582,prolonger,to prolong,french_audio/prolonger.mp3,Existence/State,Application,Activity
583,conseiller,to advise,french_audio/conseiller.mp3,Communication,Application,Activity
584,fonder,to found/base,french_audio/fonder.mp3,Creation/Change,Synthesis,Accomplishment
585,soupçonner,to suspect,french_audio/soupçonner.mp3,Cognition,Evaluation,State
586,supplier,to beg/implore,french_audio/supplier.mp3,Communication,Application,Activity
587,tarder,to be late/delay,french_audio/tarder.mp3,Existence/State,Knowledge,State
588,bousculer,to shove/jostle,french_audio/bousculer.mp3,Physical Contact,Application,Activity
589,border,to border/edge,french_audio/border.mp3,Existence/State,Knowledge,State
590,consentir,to consent,french_audio/consentir.mp3,Communication,Evaluation,Achievement
591,chuchoter,to whisper,french_audio/chuchoter.mp3,Communication,Application,Activity
592,débarquer,to land/disembark,french_audio/débarquer.mp3,Motion/Space,Knowledge,Achievement
593,longer,to go along,french_audio/longer.mp3,Motion/Space,Application,Activity
594,traduire,to translate,french_audio/traduire.mp3,Communication,Analysis,Activity
595,cogner,to bang/hit,french_audio/cogner.mp3,Physical Contact,Application,Achievement
596,repasser,to iron/pass again,french_audio/repasser.mp3,Physical Contact,Application,Activity
597,publier,to publish,french_audio/publier.mp3,Communication,Application,Achievement
598,rigoler,to laugh/joke,french_audio/rigoler.mp3,Activity/Social,Application,Activity
599,succéder,to succeed (follow),french_audio/succéder.mp3,Existence/State,Analysis,Achievement
600,animer,to animate/lead,french_audio/animer.mp3,Activity/Social,Synthesis,Activity
601,pourvoir,to provide,french_audio/pourvoir.mp3,Possession,Application,Activity
602,respecter,to respect,french_audio/respecter.mp3,Emotion/Affect,Evaluation,State
603,déboucher,to unblock/lead to,french_audio/déboucher.mp3,Physical Contact,Application,Achievement
604,figer,to freeze/numb,french_audio/figer.mp3,Existence/State,Knowledge,Achievement
605,consoler,to console,french_audio/consoler.mp3,Emotion/Affect,Application,Activity
606,replier,to fold back,french_audio/replier.mp3,Physical Contact,Application,Achievement
607,aborder,to approach/tackle,french_audio/aborder.mp3,Activity/Social,Application,Achievement
608,épuiser,to exhaust,french_audio/épuiser.mp3,Existence/State,Knowledge,Accomplishment
609,bouffer,to eat (slang),french_audio/bouffer.mp3,Bodily Function,Application,Accomplishment
610,embarquer,to embark/board,french_audio/embarquer.mp3,Motion/Space,Knowledge,Achievement
611,projeter,to project/plan,french_audio/projeter.mp3,Cognition,Synthesis,Activity
612,joindre,to join/reach,french_audio/joindre.mp3,Activity/Social,Knowledge,Achievement
613,découper,to cut out,french_audio/découper.mp3,Physical Contact,Application,Accomplishment
614,envisager,to envision/consider,french_audio/envisager.mp3,Cognition,Analysis,State
615,défiler,to parade/march,french_audio/défiler.mp3,Activity/Social,Application,Activity
616,marrer,to have fun (slang),french_audio/marrer.mp3,Emotion/Affect,Application,Activity
617,nouer,to knot/tie,french_audio/nouer.mp3,Physical Contact,Application,Achievement
618,barrer,to bar/cross out,french_audio/barrer.mp3,Physical Contact,Application,Achievement
619,vieillir,to grow old,french_audio/vieillir.mp3,Existence/State,Knowledge,Accomplishment
620,défaire,to undo,french_audio/défaire.mp3,Creation/Change,Application,Achievement
621,tremper,to soak/dip,french_audio/tremper.mp3,Physical Contact,Application,Activity
622,unir,to unite,french_audio/unir.mp3,Activity/Social,Synthesis,Achievement
623,résonner,to resonate,french_audio/résonner.mp3,Perception,Knowledge,Activity
624,récupérer,to recover/get back,french_audio/récupérer.mp3,Possession,Application,Achievement
625,ressortir,to come out again,french_audio/ressortir.mp3,Motion/Space,Knowledge,Achievement
626,déborder,to overflow,french_audio/déborder.mp3,Motion/Space,Knowledge,Activity
627,grogner,to grunt/growl,french_audio/grogner.mp3,Communication,Application,Activity
628,recueillir,to collect/gather,french_audio/recueillir.mp3,Possession,Application,Achievement
629,basculer,to tip/topple,french_audio/basculer.mp3,Motion/Space,Knowledge,Achievement
630,consister,to consist,french_audio/consister.mp3,Existence/State,Analysis,State
631,clore,to close/end,french_audio/clore.mp3,Aspectual,Knowledge,Achievement
632,emprunter,to borrow,french_audio/emprunter.mp3,Possession,Application,Achievement
633,orner,to decorate/adorn,french_audio/orner.mp3,Creation/Change,Application,Accomplishment
634,repérer,to spot/locate,french_audio/repérer.mp3,Perception,Knowledge,Achievement
635,délivrer,to deliver/release,french_audio/délivrer.mp3,Activity/Social,Application,Achievement
636,ralentir,to slow down,french_audio/ralentir.mp3,Motion/Space,Application,Activity
637,fréquenter,to frequent/hang out,french_audio/fréquenter.mp3,Activity/Social,Application,Activity
638,agacer,to annoy,french_audio/agacer.mp3,Emotion/Affect,Application,Activity
639,coincer,to wedge/corner,french_audio/coincer.mp3,Physical Contact,Application,Achievement
640,ricaner,to sneer/snigger,french_audio/ricaner.mp3,Communication,Application,Activity
641,comporter,to behave/include,french_audio/comporter.mp3,Activity/Social,Analysis,State
642,introduire,to introduce,french_audio/introduire.mp3,Motion/Space,Application,Achievement
643,décrocher,to unhook/pick up,french_audio/décrocher.mp3,Physical Contact,Application,Achievement
644,encombrer,to clutter,french_audio/encombrer.mp3,Motion/Space,Knowledge,State
645,étudier,to study,french_audio/étudier.mp3,Cognition,Analysis,Activity
646,crisper,to tense/twitch,french_audio/crisper.mp3,Bodily Function,Knowledge,Activity
647,guérir,to heal,french_audio/guérir.mp3,Existence/State,Knowledge,Accomplishment
648,immobiliser,to immobilize,french_audio/immobiliser.mp3,Motion/Space,Application,Achievement
649,déployer,to deploy/unfold,french_audio/déployer.mp3,Motion/Space,Application,Activity
650,émerger,to emerge,french_audio/émerger.mp3,Existence/State,Knowledge,Achievement
651,envoler,to fly away,french_audio/envoler.mp3,Motion/Space,Knowledge,Achievement
652,effrayer,to frighten,french_audio/effrayer.mp3,Emotion/Affect,Knowledge,Achievement
653,adopter,to adopt,french_audio/adopter.mp3,Activity/Social,Evaluation,Achievement
654,chauffer,to heat,french_audio/chauffer.mp3,Creation/Change,Application,Activity
655,acquérir,to acquire,french_audio/acquérir.mp3,Possession,Knowledge,Achievement
656,entrevoir,to catch a glimpse,french_audio/entrevoir.mp3,Perception,Knowledge,Achievement
657,louer,to rent/praise,french_audio/louer.mp3,Possession,Application,Activity
658,apprêter,to prepare/get ready,french_audio/apprêter.mp3,Creation/Change,Application,Accomplishment
659,attarder,to linger,french_audio/attarder.mp3,Existence/State,Knowledge,Activity
660,démarrer,to start up,french_audio/démarrer.mp3,Aspectual,Knowledge,Achievement
661,ficher,to do/drive in,french_audio/ficher.mp3,Creation/Change,Application,Achievement
662,soulager,to relieve,french_audio/soulager.mp3,Emotion/Affect,Application,Achievement
663,entasser,to pile up,french_audio/entasser.mp3,Physical Contact,Application,Activity
664,aspirer,to inhale/aspire,french_audio/aspirer.mp3,Bodily Function,Application,Activity
665,fasciner,to fascinate,french_audio/fasciner.mp3,Emotion/Affect,Knowledge,State
666,absorber,to absorb,french_audio/absorber.mp3,Physical Contact,Knowledge,Accomplishment
667,fendre,to split,french_audio/fendre.mp3,Physical Contact,Application,Achievement
668,enterrer,to bury,french_audio/enterrer.mp3,Physical Contact,Application,Achievement
669,réciter,to recite,french_audio/réciter.mp3,Communication,Knowledge,Activity
670,armer,to arm,french_audio/armer.mp3,Physical Contact,Application,Achievement
671,redescendre,to go back down,french_audio/redescendre.mp3,Motion/Space,Knowledge,Activity
672,ronger,to gnaw,french_audio/ronger.mp3,Physical Contact,Application,Activity
673,imprimer,to print,french_audio/imprimer.mp3,Communication,Application,Achievement
674,nettoyer,to clean,french_audio/nettoyer.mp3,Physical Contact,Application,Accomplishment
675,sursauter,to startle/jump,french_audio/sursauter.mp3,Bodily Function,Knowledge,Achievement
676,surmonter,to overcome,french_audio/surmonter.mp3,Cognition,Application,Achievement
677,procurer,to provide/obtain,french_audio/procurer.mp3,Possession,Application,Achievement
678,ravir,to delight/snatch,french_audio/ravir.mp3,Emotion/Affect,Knowledge,Achievement
679,concevoir,to conceive/design,french_audio/concevoir.mp3,Cognition,Synthesis,Accomplishment
680,survivre,to survive,french_audio/survivre.mp3,Existence/State,Knowledge,State
681,entamer,to start/cut into,french_audio/entamer.mp3,Aspectual,Knowledge,Achievement
682,distraire,to distract/entertain,french_audio/distraire.mp3,Emotion/Affect,Application,Activity
683,plaquer,to flatten/dump,french_audio/plaquer.mp3,Physical Contact,Application,Achievement
684,confirmer,to confirm,french_audio/confirmer.mp3,Communication,Evaluation,Achievement
685,mépriser,to despise,french_audio/mépriser.mp3,Emotion/Affect,Evaluation,State
686,viser,to aim at,french_audio/viser.mp3,Cognition,Application,Activity
687,encourager,to encourage,french_audio/encourager.mp3,Communication,Application,Activity
688,voyager,to travel,french_audio/voyager.mp3,Motion/Space,Application,Activity
689,tâcher,to try/stain,french_audio/tâcher.mp3,Cognition,Application,Activity
690,aviser,to inform/decide,french_audio/aviser.mp3,Communication,Evaluation,Achievement
691,signaler,to report/signal,french_audio/signaler.mp3,Communication,Knowledge,Achievement
692,plaisanter,to joke,french_audio/plaisanter.mp3,Communication,Application,Activity
693,bourrer,to stuff/cram,french_audio/bourrer.mp3,Physical Contact,Application,Activity
694,errer,to wander,french_audio/errer.mp3,Motion/Space,Application,Activity
695,gueuler,to yell (slang),french_audio/gueuler.mp3,Communication,Application,Activity
696,dérober,to steal/hide,french_audio/dérober.mp3,Possession,Knowledge,Achievement
697,emmerder,to annoy (slang),french_audio/emmerder.mp3,Emotion/Affect,Application,Activity
698,citer,to quote/cite,french_audio/citer.mp3,Communication,Knowledge,Achievement
699,bouleverser,to upset/overturn,french_audio/bouleverser.mp3,Emotion/Affect,Knowledge,Achievement
700,envier,to envy,french_audio/envier.mp3,Emotion/Affect,Evaluation,State
701,enfouir,to bury/hide,french_audio/enfouir.mp3,Physical Contact,Application,Achievement
702,aligner,to align,french_audio/aligner.mp3,Motion/Space,Application,Activity
703,soucier,to worry/care,french_audio/soucier.mp3,Emotion/Affect,Knowledge,State
704,écouler,to flow/pass,french_audio/écouler.mp3,Motion/Space,Knowledge,Activity
705,exciter,to excite,french_audio/exciter.mp3,Emotion/Affect,Knowledge,Activity
706,pisser,to pee (slang),french_audio/pisser.mp3,Bodily Function,Knowledge,Activity
707,communiquer,to communicate,french_audio/communiquer.mp3,Communication,Application,Activity
708,débattre,to debate,french_audio/débattre.mp3,Communication,Analysis,Activity
709,loger,to lodge/stay,french_audio/loger.mp3,Existence/State,Knowledge,State
